Beautiful,Confusing,Courageous,Fascinating,Funny,Informative,Ingenious,Inspiring,Jaw-dropping,Longwinded,OK,Obnoxious,Persuasive,Unconvincing,description,filmed,keywords,length,nratings,nviews,speaker,ted_event,thumbnail,tid,title,url,title_idiap,related_themes,related_videos
0.0196078431373,0.0217086834734,0.0479691876751,0.0451680672269,0.182422969188,0.151260504202,0.0189075630252,0.139355742297,0.0406162464986,0.0381652661064,0.0700280112045,0.0437675070028,0.0920868347339,0.0889355742297,"With the same humor and humanity he exuded in ""An Inconvenient Truth,"" Al Gore spells out 15 ways that individuals can address climate change immediately, from buying a hybrid to inventing a new, hotter brand name for global warming.",20060224,"[alternative energy, cars, climate change, culture, environment, global issues, politics, science, sustainability, technology]",16.2833333333,2856,3101826,Al Gore,TED2006,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/a2194b4ef5170bd9e9b086c5053e09cdf3545960_2880x1620.jpg?quality=89&w=600,1,Averting the climate crisis,http://www.ted.com/talks/al_gore_on_averting_climate_crisis,Al Gore: Averting the climate crisis,"[u'Not Business as Usual', u'Technology, History and Destiny', u'Presentation Innovation', u'Bold Predictions, Stern Warnings']","[u'Al Gore: New thinking on the climate crisis', u'John Doerr sees salvation and profit in greentech', u'Majora Carter: Greening the ghetto']"
0.0343222803956,0.00174520069808,0.086096567772,0.0895869691681,0.0110529377545,0.157649796393,0.182664339732,0.285631180919,0.0360674810937,0.0110529377545,0.0162885398487,0.00174520069808,0.0785340314136,0.00756253635835,Fumes from indoor cooking fires kill more than 2 million children a year in the developing world. MIT engineer Amy Smith details an exciting but simple solution: a tool for turning farm waste into clean-burning charcoal.,20060223,"[MacArthur grant, alternative energy, design, engineering, global issues, industrial design, invention, simplicity]",15.1,1719,1288838,Amy Smith,TED2006,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/1451_480x360.jpg?quality=89&w=600,2,Simple designs to save a life,http://www.ted.com/talks/amy_smith_shares_simple_lifesaving_design,"Amy Smith shares simple, lifesaving design","[u'Women Reshaping the World', u'Rethinking Poverty', u'A Greener Future?', u'Tales of Invention']","[u'Cameron Sinclair: A call for open-source architecture', u'Dean Kamen previews a new prosthetic arm', u'Neil Gershenfeld on Fab Labs']"
0.0547147846333,0.0291036088475,0.15832363213,0.0488940628638,0.0104772991851,0.245634458673,0.0360884749709,0.125727590221,0.0360884749709,0.0209545983702,0.0558789289872,0.0128055878929,0.124563445867,0.0407450523865,"Ashraf Ghani's passionate and powerful 10-minute talk, emphasizing the necessity of both economic investment and design ingenuity to rebuild broken states, is followed by a conversation with TED curator Chris Anderson on the future of Afghanistan.",20050711,"[business, corruption, culture, economics, entrepreneur, global development, global issues, investment, military, policy, politics, poverty]",18.75,859,752129,Ashraf Ghani,TEDGlobal 2005,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/f0244673707e0d53f813d494600e7a5bad023725_1600x1200.jpg?quality=89&w=600,3,How to rebuild a broken state,http://www.ted.com/talks/ashraf_ghani_on_rebuilding_broken_states,Ashraf Ghani on rebuilding broken states,"[u'Africa: The Next Chapter', u'War and Peace', u'Rethinking Poverty', u'Hidden Gems']","[u'Ngozi Okonjo-Iweala: Want to help Africa? Do business here', u'Jacqueline Novogratz on patient capitalism', u'Eleni Gabre-Madhin on Ethiopian economics']"
0.013903192585,0.010298661174,0.0803295571576,0.121009268795,0.0303810504634,0.164263645726,0.0417095777549,0.254376930999,0.0319258496395,0.0355303810505,0.0545829042225,0.024201853759,0.0998970133883,0.0375901132853,"In this passionate talk, legendary spacecraft designer Burt Rutan lambasts the US government-funded space program for stagnating and asks entrepreneurs to pick up where NASA has left off.",20060223,"[NASA, aircraft, business, design, engineering, entrepreneur, flight, industrial design, invention, rocket science]",19.6166666667,1942,1861270,Burt Rutan,TED2006,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/1b5cb72c2fa3e58e4c268e9e37eba833b43689bb_1600x1200.jpg?quality=89&w=600,4,The real future of space exploration,http://www.ted.com/talks/burt_rutan_sees_the_future_of_space,Burt Rutan sees the future of space,"[u'Technology, History and Destiny', u'Bold Predictions, Stern Warnings', u'Peering into Space', u'To Boldly Go ...']","[u'Bill Stone: The caves and the moon', u'Robert Ballard on exploring the oceans', u'Robert Full: Engineering and evolution']"
0.0925110132159,0.034140969163,0.0385462555066,0.0825991189427,0.100220264317,0.0947136563877,0.0253303964758,0.17731277533,0.00991189427313,0.11013215859,0.0704845814978,0.0462555066079,0.0286343612335,0.0892070484581,"American designer Chris Bangle explains his philosophy that car design is an art form in its own right, with an entertaining -- and ultimately moving -- account of the BMW Group's Deep Blue project, intended to create the SUV of the future.",20020201,"[art, business, cars, design, industrial design, invention, technology, transportation]",20.0666666667,908,831311,Chris Bangle,TED2002,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/384_640x480.jpg?quality=89&w=600,5,Great cars are great art,http://www.ted.com/talks/chris_bangle_says_great_cars_are_art,Chris Bangle says great cars are Art,"[u'Tales of Invention', u'The Creative Spark']","[u'Burt Rutan sees the future of space', u'Yves Behar: Designing objects that tell stories', u'Ross Lovegrove shares organic designs']"
0.0182648401826,0.0350076103501,0.0319634703196,0.245053272451,0.00456621004566,0.301369863014,0.0806697108067,0.109589041096,0.112633181126,0.0121765601218,0.0152207001522,0.0,0.0334855403349,0.0,Genomics pioneer Craig Venter takes a break from his epic round-the-world expedition to talk about the millions of genes his team has discovered so far in its quest to map the ocean's biodiversity.,20050223,"[DNA, biodiversity, biology, biotech, ecology, entrepreneur, genetics, invention, oceans, science, technology]",16.85,657,527941,Craig Venter,TEDGlobal 2005,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/b1dc8f513ec37e1f531213b65257804816111ac0_1600x1200.jpg?quality=89&w=600,6,Sampling the ocean's DNA,http://www.ted.com/talks/craig_venter_on_dna_and_the_sea,Craig Venter on DNA and the sea,"[u'Inspired by Nature', u'Animals That Amaze', u""Evolution's Genius"", u'To Boldly Go ...']","[u'Craig Venter: On the verge of creating synthetic life', u'Spencer Wells builds a family tree for humanity', u'Paul Rothemund details DNA folding']"
0.0216294160058,0.0097332372026,0.0155010814708,0.0583994232156,0.341384282624,0.141312184571,0.0645277577505,0.0818312905552,0.0194664744052,0.0270367700072,0.0508291276136,0.0504686373468,0.0821917808219,0.0356885364095,"New York Times columnist David Pogue takes aim at technology’s worst interface-design offenders, and provides encouraging examples of products that get it right. To funny things up, he bursts into song.",20060223,"[computers, entertainment, interface design, media, music, performance, simplicity, software, technology]",21.4333333333,2774,1577633,David Pogue,TED2006,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/ec8cb05b010ea5c373e085b4349e30723ae4aff0_1600x1200.jpg?quality=89&w=600,7,Simplicity sells,http://www.ted.com/talks/david_pogue_says_simplicity_sells,David Pogue: Simplicity sells,"[u'Presentation Innovation', u'Spectacular Performance', u'Tales of Invention', u""What's Next in Tech""]","[u'David Pogue on the music wars', u'Blaise Aguera y Arcas demos Photosynth', u'Johnny Lee demos Wii Remote hacks']"
0.0248226950355,0.0,0.0425531914894,0.0425531914894,0.0106382978723,0.127659574468,0.031914893617,0.0886524822695,0.031914893617,0.22695035461,0.0780141843972,0.0673758865248,0.0141843971631,0.212765957447,"In this emotionally charged conversation with journalist Kurt Andersen, designer David Rockwell discusses the process of building a viewing platform at Ground Zero shortly after 9/11.",20020201,"[New York, architecture, cities, collaboration, culture, death, design, disaster relief, interview, memory, urban planning]",24.6166666667,282,371533,David Rockwell,TED2002,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/10775_480x360.jpg?quality=89&w=600,8,A memorial at Ground Zero,http://www.ted.com/talks/david_rockwell_builds_at_ground_zero,David Rockwell builds at Ground Zero,"[u'The Power of Cities', u'Art Unusual', u'War and Peace', u'Architectural Inspiration']","[u""Joshua Prince-Ramus on Seattle's library"", u'Liz Diller plays with architecture', u'Thom Mayne on architecture as connection']"
0.0301204819277,0.0210843373494,0.0271084337349,0.100903614458,0.0225903614458,0.131024096386,0.177710843373,0.168674698795,0.0512048192771,0.0737951807229,0.0256024096386,0.0256024096386,0.0933734939759,0.0512048192771,Inventor Dean Kamen lays out his argument for the Segway and offers a peek into his next big ideas (portable energy and water purification for developing countries).,20020201,"[business, cars, education, industrial design, innovation, invention, robots, science, social change, sustainability, technology, transportation]",20.1166666667,664,656438,Dean Kamen,TED2002,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/492_480x360.jpg?quality=89&w=600,9,To invent is to give,http://www.ted.com/talks/dean_kamen_on_inventing_and_giving,Dean Kamen on inventing and giving,"[u'Design That Matters', u""What's Next in Tech"", u'How We Learn', u'Tales of Invention']","[u'Amy Smith shares simple, lifesaving design', u'Cameron Sinclair: A call for open-source architecture', u'Neil Gershenfeld on Fab Labs']"
0.00484848484848,0.0169696969697,0.0181818181818,0.0509090909091,0.029696969697,0.430303030303,0.0157575757576,0.0854545454545,0.0339393939394,0.00484848484848,0.0739393939394,0.00848484848485,0.189696969697,0.0369696969697,Forget the latest disease in the news: Cardiovascular disease kills more people than everything else combined -- and it’s mostly preventable. Dr. Dean Ornish explains how changing our eating habits can save lives.,20060222,"[culture, disease, food, global issues, health, health care, obesity, science]",3.3,1650,2107642,Dean Ornish,TED2006,https://pi.tedcdn.com/r/pe.tedcdn.com/images/ted/671d08b846a625bc2fdee1b6e3c7326bd9c3c48c_1600x1200.jpg?quality=89&w=600,10,The killer American diet that's sweeping the planet,http://www.ted.com/talks/dean_ornish_on_the_world_s_killer_diet,Dean Ornish: The world's killer diet,"[u'Bold Predictions, Stern Warnings', u'Might You Live a Great Deal Longer?', u'Medicine Without Borders']","[u""Mark Bittman: What's wrong with what we eat"", u'Ann Cooper talks school lunches', u'Alisa Miller: The news about the news']"
